City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
295,Kahului,US,75.85,clear sky,20.8947,-156.47,Maui Seaside Hotel
296,Arraial Do Cabo,BR,76.86,few clouds,-22.9661,-42.0278,Pousada Porto Praia
312,Labuhan,ID,83.66,broken clouds,-6.8844,112.2051,DoubleFAG
314,Gerash,IR,84.34,clear sky,27.6652,54.1371,Sa'adat House Gerash
317,Joshimath,IN,75.38,clear sky,30.5667,79.5667,Shivalik Camps & Resort
319,Bayji,IQ,75.18,overcast clouds,34.9311,43.486999999999995,مروان /عدنان
324,Carnarvon,AU,80.67,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
326,Biak,ID,78.28,broken clouds,-0.9131,122.8766,Penginapan Kim
331,Padang,ID,86.05,scattered clouds,-0.9492,100.3543,Mercure Padang
332,Mossendjo,CG,84.85,overcast clouds,-2.9506,12.7261,HOTEL D'ASSISE
341,Teluk Nibung,ID,85.5,scattered clouds,3.0010000000000003,99.8164,Hotel Assyifa
349,Port Hedland,AU,87.85,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
359,San Pedro,PH,86.36,broken clouds,14.35,121.0167,Esquivel's Garden And Resort
365,Kisaran,ID,86.14,broken clouds,2.9845,99.6158,Penginapan Batubara1
369,Les Trois-Ilets,MQ,75.11,scattered clouds,14.539000000000001,-61.0361,La Pagerie - Tropical Garden Hotel
375,Lobito,AO,78.73,overcast clouds,-12.3481,13.5456,Casa Rosa Hotel Residence
377,Angoche,MZ,82.47,light rain,-16.2325,39.9086,Guest House HESADA
378,Coolum Beach,AU,79.11,scattered clouds,-26.5333,153.1,Coolum Beach Resort
381,Iranshahr,IR,89.94,clear sky,27.2025,60.6848,نیک سرشت
383,Pointe Michel,DM,77.29,overcast clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
385,Ocos,GT,75.38,overcast clouds,14.5094,-92.1933,Auto Hotel El Soñador
386,Ambon,ID,82.0,broken clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
392,Bilma,NE,89.87,clear sky,18.6853,12.9164,Expeditions Ténére voyages
395,Pitimbu,BR,77.59,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
396,Caraballeda,VE,75.27,scattered clouds,10.6112,-66.8522,Hotel 15 Letras
397,Quelimane,MZ,85.95,scattered clouds,-17.8786,36.8883,Hotel Flamingo
402,Tambong,PH,80.42,overcast clouds,12.9639,121.4846,Bali Beach Resort Mindoro
403,Mocuba,MZ,79.7,overcast clouds,-16.8392,36.9856,Phama Lodge
406,Cayenne,GF,79.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
407,Olinda,BR,78.53,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
