City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
107,Ostersund,63.1792,14.6357,30.61,54,75,11.5,SE,broken clouds
108,Longyearbyen,78.2186,15.6401,12.04,57,0,2.3,SJ,clear sky
109,Deputatskiy,69.3,139.9,-17.88,100,75,2.13,RU,broken clouds
110,Itaituba,-4.2761,-55.9836,72.81,100,100,0.25,BR,moderate rain
111,Kamaishi,39.2667,141.8833,49.1,85,81,5.64,JP,broken clouds
112,Iquique,-20.2208,-70.1431,62.64,76,17,2.98,CL,few clouds
113,Chokurdakh,70.6333,147.9167,-15.48,98,73,6.11,RU,broken clouds
114,Haines Junction,60.7522,-137.5108,27.21,97,100,3.62,CA,snow
115,Tygda,53.1167,126.3333,22.57,67,96,5.93,RU,overcast clouds
116,Sangod,24.9167,76.2833,104.47,7,0,3.94,IN,clear sky
117,Nikolskoye,59.7035,30.7861,30.09,64,100,10.29,RU,light snow
118,Ribeira Grande,38.5167,-28.7,63.0,94,75,1.14,PT,broken clouds
119,Banda Aceh,5.5577,95.3222,82.65,75,40,5.01,ID,scattered clouds
120,Olafsvik,64.8945,-23.7142,35.78,81,92,6.98,IS,overcast clouds
121,Barrow,71.2906,-156.7887,-12.98,77,0,16.11,US,clear sky
122,Kohlu,29.8962,69.252,85.19,2,0,8.46,PK,clear sky
123,Muli,2.9167,73.5667,82.56,69,0,1.41,MV,clear sky
124,Fortuna,40.5982,-124.1573,48.65,94,100,4.61,US,overcast clouds
125,Novomyrhorod,48.7811,31.642,60.53,53,100,6.08,UA,overcast clouds
126,Kita,13.0349,-9.4895,97.38,12,13,6.15,ML,few clouds
127,Terrace Bay,48.7834,-87.1,26.4,88,100,13.87,CA,overcast clouds
128,Vardo,70.3705,31.1107,28.38,86,75,27.63,NO,broken clouds
129,Ixtapa,20.7,-105.2,65.23,88,6,1.01,MX,clear sky
130,Dikson,73.5069,80.5464,27.54,89,100,13.09,RU,overcast clouds
131,Baykit,61.67,96.37,33.64,94,100,5.46,RU,overcast clouds
132,Moron,-34.6534,-58.6198,50.97,66,0,13.15,AR,clear sky
133,Puerto Ayora,-0.7393,-90.3518,74.55,98,36,5.59,EC,scattered clouds
134,Isangel,-19.55,169.2667,79.48,86,99,9.35,VU,overcast clouds
135,Sindou,10.6667,-5.1667,93.18,27,15,4.81,BF,few clouds
136,Port Alfred,-33.5906,26.891,73.18,67,100,4.0,ZA,overcast clouds
137,Lannion,48.75,-3.4167,51.75,81,100,9.22,FR,mist
138,Owando,-0.4819,15.8999,90.03,44,92,5.1,CG,overcast clouds
139,Castro,-24.7911,-50.0119,62.38,95,3,3.31,BR,clear sky
140,Iracoubo,5.4802,-53.2011,74.89,77,100,8.68,GF,overcast clouds
141,Palmeirais,-5.9778,-43.0633,72.34,93,67,2.35,BR,broken clouds
142,Moen,69.1304,18.6123,31.86,64,75,11.5,NO,broken clouds
143,Tura,25.5198,90.2201,79.2,60,69,1.59,IN,broken clouds
144,Lavrentiya,65.5833,-171.0,-2.4,89,98,6.55,RU,overcast clouds
145,Tupik,54.4253,119.9327,15.67,83,77,4.05,RU,broken clouds
146,Ancud,-41.8697,-73.8203,47.23,87,17,3.13,CL,few clouds
147,Vila,42.0304,-8.1588,47.28,70,62,6.73,PT,broken clouds
148,Bambanglipuro,-7.95,110.2833,81.93,79,43,7.02,ID,light rain
149,Riyadh,24.6877,46.7219,87.94,8,50,1.74,SA,scattered clouds
150,Cidreira,-30.1811,-50.2056,70.72,93,100,8.48,BR,moderate rain
151,Nishihara,26.1842,127.7558,74.48,94,75,5.75,JP,mist
152,Adrar,20.5022,-10.0711,76.42,29,100,15.84,MR,overcast clouds
153,Avera,33.194,-82.5271,55.45,94,100,6.64,US,overcast clouds
154,Brainerd,46.358,-94.2008,30.49,86,100,6.91,US,overcast clouds
155,Sept-Iles,50.2001,-66.3821,27.12,68,75,10.36,CA,broken clouds
156,Tasiilaq,65.6145,-37.6368,28.56,70,100,11.54,GL,overcast clouds
157,Nanortalik,60.1432,-45.2371,29.8,82,81,4.25,GL,broken clouds
158,Ponta Delgada,37.7333,-25.6667,61.52,77,20,6.91,PT,few clouds
159,Cap Malheureux,-19.9842,57.6142,76.46,81,86,3.0,MU,moderate rain
160,Bafia,4.75,11.2333,95.83,27,95,4.9,CM,overcast clouds
161,Bambous Virieux,-20.3428,57.7575,76.21,94,75,1.14,MU,light rain
162,Touros,-5.1989,-35.4608,79.0,82,100,11.79,BR,overcast clouds
163,Mwense,-10.3845,28.698,73.17,86,98,3.71,ZM,light rain
164,Cabo San Lucas,22.8909,-109.9124,67.51,75,13,13.02,MX,few clouds
165,Bengkulu,-3.8004,102.2655,84.33,69,92,10.11,ID,overcast clouds
166,Spirovo,57.419,34.9766,27.7,50,98,8.16,RU,overcast clouds
167,Oro Valley,32.3909,-110.9665,52.93,81,5,3.0,US,clear sky
168,Okhotsk,59.3833,143.3,12.67,73,17,3.53,RU,few clouds
169,Lagoa,39.05,-27.9833,60.75,93,100,6.91,PT,overcast clouds
170,Port Elizabeth,-33.918,25.5701,78.1,57,100,1.99,ZA,overcast clouds
171,Rocha,-34.4833,-54.3333,55.4,47,15,13.58,UY,few clouds
172,Chuy,-33.6971,-53.4616,56.57,62,80,15.37,UY,broken clouds
173,Xichang,27.8964,102.2634,76.35,35,87,9.8,CN,overcast clouds
174,Cherskiy,68.75,161.3,-2.47,91,99,4.59,RU,overcast clouds
175,Slave Lake,55.2834,-114.769,30.18,93,0,2.3,CA,clear sky
176,Mayumba,-3.432,10.6554,82.26,75,28,9.55,GA,scattered clouds
177,Maniitsoq,65.4167,-52.9,17.56,87,39,8.48,GL,scattered clouds
178,Dakar,14.6937,-17.4441,70.68,83,0,18.41,SN,clear sky
179,Altamira,-3.2033,-52.2064,71.51,100,100,1.54,BR,overcast clouds
180,Lorengau,-2.0226,147.2712,81.77,81,99,10.09,PG,overcast clouds
181,Paamiut,61.994,-49.6678,24.01,77,20,3.98,GL,few clouds
182,Kaitangata,-46.2817,169.8464,55.11,96,42,1.74,NZ,scattered clouds
183,Bethel,41.3712,-73.414,26.96,65,0,3.0,US,clear sky
184,Port Lincoln,-34.7333,135.8667,62.53,71,69,20.33,AU,broken clouds
185,Terre Haute,39.4667,-87.4139,55.33,68,20,10.36,US,few clouds
186,Kushmurun,52.4503,64.6311,35.91,97,100,23.49,KZ,overcast clouds
187,Bethanien,-26.502,17.1583,80.2,32,49,6.17,NA,scattered clouds
188,Yulara,-25.2406,130.9889,87.64,18,99,8.05,AU,overcast clouds
189,Sosnovo-Ozerskoye,52.5249,111.5418,20.98,68,77,4.43,RU,broken clouds
190,Zyryanka,65.75,150.85,-9.63,96,59,6.31,RU,broken clouds
191,Forio,40.7342,13.8646,59.81,83,100,8.01,IT,overcast clouds
192,Arlit,18.7369,7.3853,92.98,2,85,9.04,NE,overcast clouds
193,Tres Arroyos,-38.3739,-60.2798,47.14,76,76,20.65,AR,broken clouds
194,Sao Jose Da Coroa Grande,-8.8978,-35.1478,79.09,81,100,3.94,BR,overcast clouds
195,Caravelas,-17.7125,-39.2481,75.81,82,60,2.15,BR,broken clouds
196,Pionerskiy,54.9508,20.2275,34.75,58,100,13.11,RU,overcast clouds
197,Georgetown,5.4112,100.3354,89.53,72,40,10.36,MY,scattered clouds
198,Alekseyevka,50.6309,38.6903,44.08,96,100,5.28,RU,light rain
199,Rovaniemi,66.5,25.7167,27.81,63,40,11.5,FI,scattered clouds
200,Hithadhoo,-0.6,73.0833,82.98,67,24,5.55,MV,few clouds
201,Mar Del Plata,-38.0023,-57.5575,47.88,89,100,13.8,AR,moderate rain
202,Mae Hong Son,19.3003,97.9685,95.14,31,20,5.75,TH,few clouds
203,Aleksandrovskoye,44.7142,43.0008,60.71,31,100,8.84,RU,overcast clouds
204,Torbay,47.6666,-52.7314,31.75,89,40,23.02,CA,scattered clouds
205,Tigil,57.8,158.6667,10.44,93,50,3.42,RU,scattered clouds
206,Mastic Beach,40.7668,-72.8521,30.97,55,0,4.61,US,clear sky
207,Talnakh,69.4865,88.3972,29.21,91,100,12.44,RU,overcast clouds
208,Lompoc,34.6391,-120.4579,53.02,85,100,20.0,US,overcast clouds
209,Lodja,-3.4833,23.4333,83.21,56,96,3.58,CD,overcast clouds
210,Roma,43.2128,-75.4557,19.72,85,0,0.0,US,clear sky
211,Simao,22.7886,100.9748,77.32,44,90,3.74,CN,overcast clouds
212,Ola,59.5833,151.2833,17.15,79,100,7.9,RU,overcast clouds
213,Vostok,46.4856,135.8833,18.73,92,62,4.34,RU,broken clouds
214,Ugoofaaru,5.6667,73.0,83.23,68,0,0.89,MV,clear sky
215,Sampit,-2.5333,112.95,82.08,77,100,4.54,ID,overcast clouds
216,Port Blair,11.6667,92.75,86.04,70,20,3.44,IN,few clouds
217,Omboue,-1.5746,9.2618,85.44,63,71,8.41,GA,broken clouds
218,Alto Araguaia,-17.3147,-53.2153,68.02,92,81,3.0,BR,broken clouds
219,Laureles,26.1092,-97.4941,75.02,72,100,26.46,US,overcast clouds
220,Akdepe,42.0551,59.3788,59.09,9,0,15.93,TM,clear sky
221,Khamgaon,20.6833,76.5667,103.57,7,9,7.67,IN,clear sky
222,Magistralnyy,56.1725,107.4458,29.44,79,95,7.11,RU,overcast clouds
223,Bilibino,68.0546,166.4372,-4.52,85,81,5.86,RU,broken clouds
224,Alice Town,25.7167,-79.3,75.09,63,1,18.19,BS,clear sky
225,Kutum,14.2,24.6667,83.03,6,27,11.32,SD,scattered clouds
226,Camacha,33.0833,-16.3333,60.22,67,40,16.11,PT,scattered clouds
227,Pevek,69.7008,170.3133,-11.47,96,100,2.66,RU,overcast clouds
228,Vasterhaninge,59.1167,18.1,33.84,49,5,9.22,SE,clear sky
229,Jamalpur,24.9167,89.9333,78.15,78,85,13.51,BD,overcast clouds
