City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
51,Saint George,US,2022-03-10 22:52:37,37.1041,-113.5841,48.43,24,75,10.0
52,Tirano,IT,2022-03-10 22:53:03,46.2154,10.1679,45.46,69,16,1.41
53,Hami,CN,2022-03-10 22:53:04,42.8,93.45,46.0,42,100,11.5
54,Bembereke,BJ,2022-03-10 22:53:04,10.2283,2.6634,83.64,13,99,0.34
55,Nishihara,JP,2022-03-10 22:53:05,26.1842,127.7558,65.86,63,75,8.05
56,Dwarka,IN,2022-03-10 22:53:05,22.2394,68.9678,74.46,76,0,13.38
57,Demba,CD,2022-03-10 22:53:05,-5.51,22.2667,69.4,89,88,0.56
58,Sao Joao Da Barra,BR,2022-03-10 22:50:00,-21.6403,-41.0511,78.91,82,27,14.65
59,Balkhash,KZ,2022-03-10 22:53:06,46.844,74.9804,26.46,86,100,14.12
60,Sechura,PE,2022-03-10 22:53:06,-5.5569,-80.8222,81.25,58,91,16.4
61,Victoria,HK,2022-03-10 22:48:47,22.2855,114.1577,69.24,79,0,11.01
62,Souillac,MU,2022-03-10 22:47:37,-20.5167,57.5167,79.18,89,40,3.44
63,Sisimiut,GL,2022-03-10 22:53:07,66.9395,-53.6735,-10.75,98,42,4.59
64,Zyryanka,RU,2022-03-10 22:53:07,65.75,150.85,-6.43,98,100,3.85
65,Coahuayana,MX,2022-03-10 22:53:08,18.7333,-103.6833,82.49,44,1,6.78
66,Ossora,RU,2022-03-10 22:53:08,59.2353,163.0719,19.22,84,26,5.01
67,Nevelsk,RU,2022-03-10 22:53:09,46.6733,141.8633,35.33,98,100,18.21
68,Tasiilaq,GL,2022-03-10 22:48:52,65.6145,-37.6368,22.26,90,100,14.94
69,Brigantine,US,2022-03-10 22:53:09,39.4101,-74.3646,44.02,78,97,4.99
70,Ponta Do Sol,PT,2022-03-10 22:53:10,32.6667,-17.1,65.07,77,86,7.72
71,Nadym,RU,2022-03-10 22:53:10,65.5333,72.5167,-6.99,96,100,10.07
72,Mataura,NZ,2022-03-10 22:45:13,-46.1927,168.8643,62.47,57,100,7.02
73,Skelleftea,SE,2022-03-10 22:53:10,64.7507,20.9528,34.16,66,75,4.61
74,Georgetown,MY,2022-03-10 22:48:46,5.4112,100.3354,80.53,93,20,2.3
75,Isangel,VU,2022-03-10 22:53:11,-19.55,169.2667,83.75,68,49,4.65
76,Sao Filipe,CV,2022-03-10 22:48:51,14.8961,-24.4956,71.38,70,11,10.33
77,Boshnyakovo,RU,2022-03-10 22:53:11,49.6333,142.1667,30.31,89,100,6.2
78,Torbay,CA,2022-03-10 22:53:12,47.6666,-52.7314,31.57,76,75,23.02
79,Cape Town,ZA,2022-03-10 22:48:46,-33.9258,18.4232,68.11,72,0,9.22
80,Bathsheba,BB,2022-03-10 22:50:00,13.2167,-59.5167,79.41,69,40,20.71
81,Butaritari,KI,2022-03-10 22:49:58,3.0707,172.7902,80.47,82,67,16.49
82,Khatanga,RU,2022-03-10 22:45:11,71.9667,102.5,-21.3,100,99,5.32
83,Bekhtery,UA,2022-03-10 22:53:13,46.251,32.2927,23.38,65,100,17.67
84,Hithadhoo,MV,2022-03-10 22:47:28,-0.6,73.0833,81.48,62,34,3.31
85,Provideniya,RU,2022-03-10 22:53:13,64.3833,-173.3,19.51,68,0,38.03
86,Sendhwa,IN,2022-03-10 22:53:13,21.6833,75.1,75.72,32,3,3.78
87,Kibala,TD,2022-03-10 22:53:14,9.1104,18.3463,87.75,42,0,0.0
88,Nouakchott,MR,2022-03-10 22:50:28,18.0858,-15.9785,67.93,47,0,14.76
89,Vaini,TO,2022-03-10 22:47:31,-21.2,-175.2,77.16,94,100,10.36
90,Upernavik,GL,2022-03-10 22:50:06,72.7868,-56.1549,-13.54,98,68,3.0
91,Mahebourg,MU,2022-03-10 22:53:15,-20.4081,57.7,79.09,89,40,3.44
92,Chokurdakh,RU,2022-03-10 22:54:15,70.6333,147.9167,-14.94,100,97,6.04
93,Ahipara,NZ,2022-03-10 22:54:16,-35.1667,173.1667,73.45,61,46,10.02
94,Bethel,US,2022-03-10 22:54:16,41.3712,-73.414,44.89,66,98,0.98
95,Los Llanos De Aridane,ES,2022-03-10 22:54:16,28.6585,-17.9182,58.75,84,0,4.61
96,Biak,ID,2022-03-10 22:54:17,-0.9131,122.8766,77.9,85,46,0.81
97,Ginir,ET,2022-03-10 22:54:17,7.1333,40.7,59.18,50,61,3.4
98,Buraydah,SA,2022-03-10 22:54:18,26.326,43.975,79.25,24,100,13.13
99,Saint-Philippe,RE,2022-03-10 22:54:18,-21.3585,55.7679,76.59,87,35,7.09
100,Nikolskoye,RU,2022-03-10 22:54:18,59.7035,30.7861,23.81,86,20,7.0
